2021-01-24 19:53:27 - INFO - Epoch: 16,	 Iter: 400,	 Loss: 0.34756,	 Val-Acc1: 98.53 (Best: 98.53),	 Val-Acc5: 99.92
2021-01-24 19:53:41 - INFO - Epoch: 17,	 Iter: 0,	 Loss: 0.35451,	 Val-Acc1: 98.46 (Best: 98.53),	 Val-Acc5: 99.94
2021-01-24 19:53:51 - INFO - Epoch: 17,	 Iter: 100,	 Loss: 0.38265,	 Val-Acc1: 98.46 (Best: 98.53),	 Val-Acc5: 99.90
2021-01-24 19:54:02 - INFO - Epoch: 17,	 Iter: 200,	 Loss: 0.35383,	 Val-Acc1: 98.49 (Best: 98.53),	 Val-Acc5: 99.92
2021-01-24 19:54:12 - INFO - Epoch: 17,	 Iter: 300,	 Loss: 0.42169,	 Val-Acc1: 98.54 (Best: 98.54),	 Val-Acc5: 99.95
2021-01-24 19:54:23 - INFO - Epoch: 17,	 Iter: 400,	 Loss: 0.33839,	 Val-Acc1: 98.50 (Best: 98.54),	 Val-Acc5: 99.93
2021-01-24 19:54:37 - INFO - Epoch: 18,	 Iter: 0,	 Loss: 0.37481,	 Val-Acc1: 98.50 (Best: 98.54),	 Val-Acc5: 99.94
2021-01-24 19:54:47 - INFO - Epoch: 18,	 Iter: 100,	 Loss: 0.35085,	 Val-Acc1: 98.45 (Best: 98.54),	 Val-Acc5: 99.93
2021-01-24 19:54:58 - INFO - Epoch: 18,	 Iter: 200,	 Loss: 0.38359,	 Val-Acc1: 98.54 (Best: 98.54),	 Val-Acc5: 99.92
2021-01-24 19:55:08 - INFO - Epoch: 18,	 Iter: 300,	 Loss: 0.37293,	 Val-Acc1: 98.49 (Best: 98.54),	 Val-Acc5: 99.91
2021-01-24 19:55:19 - INFO - Epoch: 18,	 Iter: 400,	 Loss: 0.35476,	 Val-Acc1: 98.50 (Best: 98.54),	 Val-Acc5: 99.90
2021-01-24 19:55:33 - INFO - Epoch: 19,	 Iter: 0,	 Loss: 0.34050,	 Val-Acc1: 98.50 (Best: 98.54),	 Val-Acc5: 99.91
2021-01-24 19:55:43 - INFO - Epoch: 19,	 Iter: 100,	 Loss: 0.35601,	 Val-Acc1: 98.47 (Best: 98.54),	 Val-Acc5: 99.91
2021-01-24 19:55:53 - INFO - Epoch: 19,	 Iter: 200,	 Loss: 0.34360,	 Val-Acc1: 98.52 (Best: 98.54),	 Val-Acc5: 99.92
2021-01-24 19:56:04 - INFO - Epoch: 19,	 Iter: 300,	 Loss: 0.34112,	 Val-Acc1: 98.45 (Best: 98.54),	 Val-Acc5: 99.89
2021-01-24 19:56:15 - INFO - Epoch: 19,	 Iter: 400,	 Loss: 0.34056,	 Val-Acc1: 98.39 (Best: 98.54),	 Val-Acc5: 99.88
2021-01-24 19:56:28 - INFO - Epoch: 20,	 Iter: 0,	 Loss: 0.37576,	 Val-Acc1: 98.53 (Best: 98.54),	 Val-Acc5: 99.88
2021-01-24 19:56:39 - INFO - Epoch: 20,	 Iter: 100,	 Loss: 0.35007,	 Val-Acc1: 98.53 (Best: 98.54),	 Val-Acc5: 99.94
2021-01-24 19:56:49 - INFO - Epoch: 20,	 Iter: 200,	 Loss: 0.34471,	 Val-Acc1: 98.54 (Best: 98.54),	 Val-Acc5: 99.91
2021-01-24 19:57:00 - INFO - Epoch: 20,	 Iter: 300,	 Loss: 0.34889,	 Val-Acc1: 98.46 (Best: 98.54),	 Val-Acc5: 99.91
2021-01-24 19:57:11 - INFO - Epoch: 20,	 Iter: 400,	 Loss: 0.34264,	 Val-Acc1: 98.50 (Best: 98.54),	 Val-Acc5: 99.90
2021-01-24 19:57:24 - INFO - Epoch: 21,	 Iter: 0,	 Loss: 0.33282,	 Val-Acc1: 98.49 (Best: 98.54),	 Val-Acc5: 99.93
2021-01-24 19:57:35 - INFO - Epoch: 21,	 Iter: 100,	 Loss: 0.32745,	 Val-Acc1: 98.53 (Best: 98.54),	 Val-Acc5: 99.90
2021-01-24 19:57:45 - INFO - Epoch: 21,	 Iter: 200,	 Loss: 0.37693,	 Val-Acc1: 98.43 (Best: 98.54),	 Val-Acc5: 99.90
2021-01-24 19:57:56 - INFO - Epoch: 21,	 Iter: 300,	 Loss: 0.34186,	 Val-Acc1: 98.47 (Best: 98.54),	 Val-Acc5: 99.93
2021-01-24 19:58:06 - INFO - Epoch: 21,	 Iter: 400,	 Loss: 0.35056,	 Val-Acc1: 98.51 (Best: 98.54),	 Val-Acc5: 99.90
2021-01-24 19:58:20 - INFO - Epoch: 22,	 Iter: 0,	 Loss: 0.39635,	 Val-Acc1: 98.50 (Best: 98.54),	 Val-Acc5: 99.91
2021-01-24 19:58:31 - INFO - Epoch: 22,	 Iter: 100,	 Loss: 0.36130,	 Val-Acc1: 98.50 (Best: 98.54),	 Val-Acc5: 99.89
2021-01-24 19:58:42 - INFO - Epoch: 22,	 Iter: 200,	 Loss: 0.32673,	 Val-Acc1: 98.61 (Best: 98.61),	 Val-Acc5: 99.91
2021-01-24 19:58:52 - INFO - Epoch: 22,	 Iter: 300,	 Loss: 0.37391,	 Val-Acc1: 98.54 (Best: 98.61),	 Val-Acc5: 99.91
2021-01-24 19:59:03 - INFO - Epoch: 22,	 Iter: 400,	 Loss: 0.33100,	 Val-Acc1: 98.48 (Best: 98.61),	 Val-Acc5: 99.93
2021-01-24 19:59:16 - INFO - Epoch: 23,	 Iter: 0,	 Loss: 0.36246,	 Val-Acc1: 98.61 (Best: 98.61),	 Val-Acc5: 99.91
2021-01-24 19:59:27 - INFO - Epoch: 23,	 Iter: 100,	 Loss: 0.38074,	 Val-Acc1: 98.51 (Best: 98.61),	 Val-Acc5: 99.89
2021-01-24 19:59:38 - INFO - Epoch: 23,	 Iter: 200,	 Loss: 0.40924,	 Val-Acc1: 98.45 (Best: 98.61),	 Val-Acc5: 99.91
2021-01-24 19:59:48 - INFO - Epoch: 23,	 Iter: 300,	 Loss: 0.34906,	 Val-Acc1: 98.57 (Best: 98.61),	 Val-Acc5: 99.94
2021-01-24 19:59:58 - INFO - Epoch: 23,	 Iter: 400,	 Loss: 0.36498,	 Val-Acc1: 98.53 (Best: 98.61),	 Val-Acc5: 99.92
2021-01-24 20:00:12 - INFO - Epoch: 24,	 Iter: 0,	 Loss: 0.37754,	 Val-Acc1: 98.46 (Best: 98.61),	 Val-Acc5: 99.91
2021-01-24 20:00:23 - INFO - Epoch: 24,	 Iter: 100,	 Loss: 0.34543,	 Val-Acc1: 98.52 (Best: 98.61),	 Val-Acc5: 99.89
2021-01-24 20:00:33 - INFO - Epoch: 24,	 Iter: 200,	 Loss: 0.35834,	 Val-Acc1: 98.56 (Best: 98.61),	 Val-Acc5: 99.92
2021-01-24 20:00:44 - INFO - Epoch: 24,	 Iter: 300,	 Loss: 0.38003,	 Val-Acc1: 98.52 (Best: 98.61),	 Val-Acc5: 99.93
2021-01-24 20:00:54 - INFO - Epoch: 24,	 Iter: 400,	 Loss: 0.38443,	 Val-Acc1: 98.55 (Best: 98.61),	 Val-Acc5: 99.89
2021-01-24 20:01:08 - INFO - Epoch: 25,	 Iter: 0,	 Loss: 0.37677,	 Val-Acc1: 98.51 (Best: 98.61),	 Val-Acc5: 99.89
2021-01-24 20:01:19 - INFO - Epoch: 25,	 Iter: 100,	 Loss: 0.34939,	 Val-Acc1: 98.52 (Best: 98.61),	 Val-Acc5: 99.88
2021-01-24 20:01:29 - INFO - Epoch: 25,	 Iter: 200,	 Loss: 0.36463,	 Val-Acc1: 98.43 (Best: 98.61),	 Val-Acc5: 99.89
